timestamp,event_type,source_ip,username,severity,description,host
2025-12-27 01:12:04,LOGIN_SUCCESS,192.168.1.15,sysadmin,LOW,Normal login success activity,WORKSTATION-1
2025-12-27 01:03:04,BRUTE_FORCE_ATTEMPT,192.0.2.123,root,HIGH,Suspicious brute force attempt detected,SERVER-4
2025-12-27 01:01:04,LOGIN_SUCCESS,172.16.0.8,sysadmin,LOW,Normal login success activity,WORKSTATION-9
2025-12-27 01:00:04,NETWORK_SCAN,192.0.2.123,root,CRITICAL,Attack pattern: PORT_SCAN - Step 5,SERVER-1
2025-12-27 00:58:04,NETWORK_SCAN,192.0.2.123,admin,CRITICAL,Attack pattern: PORT_SCAN - Step 4,SERVER-1
2025-12-27 00:57:04,NETWORK_SCAN,198.51.100.78,administrator,MEDIUM,Suspicious network scan detected,SERVER-2
2025-12-27 00:57:04,PRIVILEGE_ESCALATION,198.51.100.78,admin,HIGH,Suspicious privilege escalation detected,SERVER-5
2025-12-27 00:56:04,NETWORK_SCAN,192.0.2.123,root,CRITICAL,Attack pattern: PORT_SCAN - Step 3,SERVER-1
2025-12-27 00:55:04,PRIVILEGE_ESCALATION,198.51.100.78,administrator,HIGH,Suspicious privilege escalation detected,SERVER-2
2025-12-27 00:54:04,BRUTE_FORCE_ATTEMPT,203.0.113.45,administrator,HIGH,Suspicious brute force attempt detected,SERVER-2
2025-12-27 00:54:04,NETWORK_SCAN,192.0.2.123,admin,CRITICAL,Attack pattern: PORT_SCAN - Step 2,SERVER-1
2025-12-27 00:53:04,NETWORK_SCAN,192.0.2.123,root,MEDIUM,Suspicious network scan detected,SERVER-5
2025-12-27 00:52:04,NETWORK_SCAN,192.0.2.123,root,CRITICAL,Attack pattern: PORT_SCAN - Step 1,SERVER-1
2025-12-27 00:49:04,BRUTE_FORCE_ATTEMPT,198.51.100.78,admin,HIGH,Suspicious brute force attempt detected,SERVER-2
2025-12-27 00:41:04,MALWARE_DETECTED,192.0.2.123,admin,CRITICAL,Attack pattern: MALWARE_EXECUTION - Step 3,SERVER-1
2025-12-27 00:39:04,FILE_ACCESS,192.168.1.20,jnjoku,LOW,Normal file access activity,WORKSTATION-5
2025-12-27 00:39:04,BRUTE_FORCE_ATTEMPT,203.0.113.45,admin,HIGH,Suspicious brute force attempt detected,SERVER-1
2025-12-27 00:39:04,PRIVILEGE_ESCALATION,198.51.100.78,admin,HIGH,Suspicious privilege escalation detected,SERVER-4
2025-12-27 00:39:04,SUSPICIOUS_PROCESS,192.0.2.123,admin,CRITICAL,Attack pattern: MALWARE_EXECUTION - Step 2,SERVER-1
2025-12-27 00:38:04,BRUTE_FORCE_ATTEMPT,203.0.113.45,root,HIGH,Suspicious brute force attempt detected,SERVER-3
2025-12-27 00:37:04,PRIVILEGE_ESCALATION,203.0.113.45,administrator,HIGH,Suspicious privilege escalation detected,SERVER-4
2025-12-27 00:37:04,FILE_MODIFIED,192.0.2.123,admin,CRITICAL,Attack pattern: MALWARE_EXECUTION - Step 1,SERVER-1
2025-12-27 00:33:04,PRIVILEGE_ESCALATION,198.51.100.78,root,HIGH,Suspicious privilege escalation detected,SERVER-4
2025-12-27 00:31:04,LOGIN_SUCCESS,192.0.2.123,root,CRITICAL,Attack pattern: BRUTE_FORCE - Step 4,SERVER-1
2025-12-27 00:30:04,FILE_ACCESS,192.168.1.10,admin,LOW,Normal file access activity,WORKSTATION-1
2025-12-27 00:29:04,LOGIN_FAILURE,192.0.2.123,root,CRITICAL,Attack pattern: BRUTE_FORCE - Step 3,SERVER-1
2025-12-27 00:27:04,LOGIN_FAILURE,192.0.2.123,root,CRITICAL,Attack pattern: BRUTE_FORCE - Step 2,SERVER-1
2025-12-27 00:25:04,NETWORK_SCAN,203.0.113.45,administrator,MEDIUM,Suspicious network scan detected,SERVER-1
2025-12-27 00:25:04,LOGIN_FAILURE,192.0.2.123,admin,CRITICAL,Attack pattern: BRUTE_FORCE - Step 1,SERVER-1
2025-12-27 00:23:04,LOGIN_FAILURE,192.0.2.123,administrator,MEDIUM,Suspicious login failure detected,SERVER-5
2025-12-27 00:21:04,NETWORK_SCAN,192.0.2.123,administrator,MEDIUM,Suspicious network scan detected,SERVER-1
2025-12-27 00:21:04,DATA_EXFILTRATION,203.0.113.45,root,CRITICAL,Attack pattern: DATA_BREACH - Step 3,SERVER-1
2025-12-27 00:19:04,NETWORK_SCAN,203.0.113.45,root,MEDIUM,Suspicious network scan detected,SERVER-1
